timestamp,temperature,humidity,air_quality,rain,pressure
2026-04-30 21:27:03,20.5,63.5,492,0,1010.62
2026-04-30 21:27:05,21.9,64.2,392,0,1010.93
2026-04-30 21:27:07,20.0,62.8,377,0,1014.66
2026-04-30 21:27:09,20.8,63.2,364,1,1017.6
2026-04-30 21:27:11,20.6,63.3,406,0,1009.31
2026-04-30 21:27:13,21.3,60.4,365,0,1013.8
2026-04-30 21:27:15,21.4,61.4,357,1,1015.84
2026-04-30 21:27:17,20.8,59.1,494,0,1017.03
2026-04-30 21:27:19,20.3,64.7,374,1,1018.14
2026-04-30 21:27:21,21.4,63.1,432,0,1013.47
2026-04-30 21:28:02,21.2,63.7,485,0,1011.87
2026-04-30 21:28:04,21.2,63.4,478,0,1011.73
2026-04-30 21:28:06,21.2,61.6,406,0,1008.48
2026-04-30 21:28:08,21.0,60.1,380,0,1011.92
2026-04-30 21:28:10,21.6,60.3,456,0,1009.84
2026-04-30 21:28:12,20.2,61.9,419,0,1015.53
2026-04-30 21:28:14,20.6,62.6,442,1,1010.23
2026-04-30 21:28:16,20.1,63.1,363,1,1010.39
2026-04-30 21:28:18,20.3,63.4,416,0,1008.82
2026-04-30 21:28:20,20.0,61.9,343,0,1016.64
2026-04-30 21:28:22,21.1,60.2,370,0,1014.61
2026-04-30 21:28:24,21.6,62.2,452,0,1017.69
2026-04-30 21:28:26,20.3,59.5,470,0,1011.5
2026-04-30 21:28:28,20.6,63.4,406,0,1015.27
2026-04-30 21:28:30,20.1,62.8,387,0,1015.72
2026-04-30 21:28:32,20.5,62.8,415,0,1014.88
2026-04-30 21:28:34,22.0,58.0,381,0,1013.54
2026-04-30 21:28:36,21.6,63.2,361,0,1010.07
2026-04-30 21:28:38,21.5,64.1,341,0,1013.9
2026-04-30 21:28:40,21.4,63.2,477,0,1014.41
2026-04-30 21:28:42,20.3,63.0,376,0,1012.96
2026-04-30 21:28:44,21.3,60.0,453,0,1012.39
2026-04-30 21:28:46,21.8,63.9,489,0,1015.82
2026-05-01 22:49:53,20.5,61.6,472,0,1011.64
2026-05-01 22:49:57,20.2,59.9,390,0,1016.63
2026-05-01 22:50:01,21.6,64.1,392,0,1017.9
2026-05-01 22:50:05,20.1,64.2,433,0,1013.44
2026-05-01 22:54:01,20.1,63.6,455,0,1009.82
2026-05-01 22:54:05,20.3,62.3,491,0,1014.29
2026-05-01 22:54:09,21.2,64.0,347,0,1010.81
2026-05-01 22:54:13,20.7,60.8,423,0,1014.86
2026-05-01 22:54:17,20.3,60.8,429,0,1010.92
2026-05-01 22:54:21,20.9,64.9,370,0,1008.95
2026-05-01 22:54:25,21.4,59.1,485,0,1008.29
2026-05-01 22:54:29,20.8,61.4,359,0,1017.58
2026-05-01 22:54:33,20.9,59.5,473,0,1013.48
2026-05-01 22:54:37,20.9,65.3,435,0,1014.99
2026-05-01 22:54:41,21.4,59.7,402,0,1015.33
2026-05-01 22:54:45,20.1,63.9,401,0,1010.21
2026-05-01 22:54:49,20.8,62.4,477,0,1009.4
2026-05-01 23:06:11,20.1,63.6,403,0,1018.22
2026-05-01 23:06:13,20.4,62.0,372,0,1017.72
2026-05-01 23:06:15,21.9,61.7,440,0,1018.08
2026-05-01 23:06:17,20.6,59.5,493,0,1017.91
2026-05-01 23:06:19,20.8,60.1,459,0,1015.42
2026-05-01 23:06:21,20.6,60.4,396,0,1009.75
2026-05-01 23:06:23,21.4,64.8,445,1,1017.71
2026-05-01 23:06:25,20.0,60.7,455,0,1010.04
2026-05-01 23:06:27,20.4,61.4,342,0,1015.6
2026-05-01 23:06:29,21.8,58.7,356,0,1012.35
2026-05-01 23:06:31,22.0,58.2,350,1,1015.7
2026-05-01 23:06:33,20.5,64.2,429,0,1008.47
2026-05-01 23:06:35,21.1,61.2,347,0,1018.11
2026-05-01 23:06:37,20.9,59.3,495,0,1017.48
2026-05-01 23:07:21,20.6,61.7,472,0,1013.75
2026-05-01 23:07:23,20.9,61.1,475,0,1015.67
2026-05-01 23:07:25,21.0,60.7,442,0,1012.74
2026-05-01 23:07:27,20.4,64.2,443,0,1011.14
2026-05-01 23:07:29,20.8,64.9,457,0,1008.75
2026-05-01 23:07:31,20.9,63.0,368,0,1014.73
2026-05-01 23:07:33,21.7,59.8,348,1,1015.98
2026-05-01 23:07:35,21.7,65.5,357,1,1015.37
2026-05-01 23:07:37,22.0,62.0,368,0,1018.05
2026-05-01 23:07:39,20.0,60.5,406,0,1017.14
2026-05-01 23:07:41,20.4,60.6,432,0,1010.33
2026-05-01 23:07:43,20.8,63.6,439,0,1010.74
2026-05-01 23:07:45,22.0,60.7,497,0,1010.15
2026-05-01 23:07:47,20.3,59.3,479,0,1013.71
2026-05-01 23:07:49,20.4,64.0,369,0,1013.06
2026-05-01 23:07:51,20.3,62.1,389,0,1014.37
2026-05-01 23:08:29,20.8,64.1,383,1,1009.7
2026-05-01 23:08:31,21.9,65.1,479,0,1010.99
2026-05-01 23:08:33,20.8,62.7,446,0,1017.83
2026-05-01 23:08:35,21.8,64.1,471,0,1010.69
2026-05-01 23:08:37,21.7,63.5,445,0,1015.47
2026-05-01 23:08:39,20.7,62.9,416,1,1012.98
2026-05-01 23:08:41,20.9,60.5,484,0,1015.23
2026-05-01 23:08:43,21.4,64.3,413,0,1013.77
2026-05-17 15:50:12,25.7,57.6,468,0,1008.99
2026-05-17 15:50:27,26.4,61.9,441,0,1011.81
2026-05-17 15:50:29,27.8,60.5,368,1,1010.79
2026-05-17 15:50:31,25.8,57.8,483,0,1011.22
